,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,99.99999747378752,1000.0000474974513,neutron,70,total,flux,0.0,0.0
1,1000.0000474974513,1200.0000569969416,neutron,70,total,flux,0.0,0.0
2,1200.0000569969416,1500.000013038516,neutron,70,total,flux,0.0,0.0
3,1500.000013038516,2000.0000949949026,neutron,70,total,flux,0.0,0.0
4,2000.0000949949026,2300.000051036477,neutron,70,total,flux,0.0,0.0
5,2300.000051036477,2499.9999441206455,neutron,70,total,flux,0.0,0.0
6,2499.9999441206455,3000.000026077032,neutron,70,total,flux,0.0,0.0
7,3000.000026077032,4000.000189989805,neutron,70,total,flux,0.0,0.0
8,4000.000189989805,4999.999888241291,neutron,70,total,flux,0.0,0.0
9,4999.999888241291,6000.000052154064,neutron,70,total,flux,1.5921627326423795e-06,1.5921627326423793e-06
10,6000.000052154064,7000.000216066837,neutron,70,total,flux,0.0,0.0
11,7000.000216066837,8000.00037997961,neutron,70,total,flux,0.0,0.0
12,8000.00037997961,8999.999612569809,neutron,70,total,flux,0.0,0.0
13,8999.999612569809,9999.999776482582,neutron,70,total,flux,0.0,0.0
14,9999.999776482582,10999.999940395355,neutron,70,total,flux,0.0,0.0
15,10999.999940395355,12000.000104308128,neutron,70,total,flux,0.0,0.0
16,12000.000104308128,13000.000268220901,neutron,70,total,flux,0.0,0.0
17,13000.000268220901,14000.000432133675,neutron,70,total,flux,0.0,0.0
18,14000.000432133675,14999.999664723873,neutron,70,total,flux,0.0,0.0
19,14999.999664723873,16000.00075995922,neutron,70,total,flux,0.0,0.0
20,16000.00075995922,17000.000923871994,neutron,70,total,flux,0.0,0.0
21,17000.000923871994,17999.999225139618,neutron,70,total,flux,0.0,0.0
22,17999.999225139618,18999.99938905239,neutron,70,total,flux,0.0,0.0
23,18999.99938905239,19999.999552965164,neutron,70,total,flux,0.0,0.0
24,19999.999552965164,20999.999716877937,neutron,70,total,flux,0.0,0.0
25,20999.999716877937,21999.99988079071,neutron,70,total,flux,0.0,0.0
26,21999.99988079071,23000.000044703484,neutron,70,total,flux,0.0,0.0
27,23000.000044703484,24000.000208616257,neutron,70,total,flux,0.0,0.0
28,24000.000208616257,25000.00037252903,neutron,70,total,flux,5.660836972990297e-07,5.660836972990296e-07
29,25000.00037252903,26000.000536441803,neutron,70,total,flux,2.0887964851623907e-06,2.088796485162391e-06
30,26000.000536441803,27000.000700354576,neutron,70,total,flux,0.0,0.0
31,27000.000700354576,28000.00086426735,neutron,70,total,flux,0.0,0.0
32,28000.00086426735,28999.999165534973,neutron,70,total,flux,0.0,0.0
33,28999.999165534973,29999.999329447746,neutron,70,total,flux,0.0,0.0
34,29999.999329447746,32000.00151991844,neutron,70,total,flux,0.0,0.0
35,32000.00151991844,34000.00184774399,neutron,70,total,flux,0.0,0.0
36,34000.00184774399,35999.998450279236,neutron,70,total,flux,0.0,0.0
37,35999.998450279236,37999.99877810478,neutron,70,total,flux,0.0,0.0
38,37999.99877810478,39999.99910593033,neutron,70,total,flux,0.0,0.0
39,39999.99910593033,41999.999433755875,neutron,70,total,flux,0.0,0.0
40,41999.999433755875,43999.99976158142,neutron,70,total,flux,0.0,0.0
41,43999.99976158142,46000.00008940697,neutron,70,total,flux,0.0,0.0
42,46000.00008940697,48000.00041723251,neutron,70,total,flux,0.0,0.0
43,48000.00041723251,50000.00074505806,neutron,70,total,flux,0.0,0.0
44,50000.00074505806,52000.001072883606,neutron,70,total,flux,0.0,0.0
45,52000.001072883606,54000.00140070915,neutron,70,total,flux,0.0,0.0
46,54000.00140070915,56000.0017285347,neutron,70,total,flux,0.0,0.0
47,56000.0017285347,57999.998331069946,neutron,70,total,flux,0.0,0.0
48,57999.998331069946,59999.99865889549,neutron,70,total,flux,0.0,0.0
49,59999.99865889549,64999.99761581421,neutron,70,total,flux,1.6268127398749604e-06,1.6239315759072647e-06
50,64999.99761581421,70000.00029802322,neutron,70,total,flux,5.3578487561751995e-06,2.987577483368767e-06
51,70000.00029802322,75000.00298023224,neutron,70,total,flux,0.0,0.0
52,75000.00298023224,79999.99821186066,neutron,70,total,flux,3.395277375201342e-06,3.395277375201342e-06
53,79999.99821186066,85000.00089406967,neutron,70,total,flux,2.011767292812202e-06,2.011767292812202e-06
54,85000.00089406967,90000.00357627869,neutron,70,total,flux,0.0,0.0
55,90000.00357627869,94999.9988079071,neutron,70,total,flux,5.512514338147412e-08,5.5125143381474114e-08
56,94999.9988079071,100000.00149011612,neutron,70,total,flux,7.825801881731837e-07,5.455410149906442e-07
57,100000.00149011612,104999.99672174454,neutron,70,total,flux,6.092830155084173e-07,6.092830155084173e-07
58,104999.99672174454,109999.99940395355,neutron,70,total,flux,1.9823317446273736e-06,1.9823317446273736e-06
59,109999.99940395355,115000.00208616257,neutron,70,total,flux,0.0,0.0
60,115000.00208616257,119999.99731779099,neutron,70,total,flux,2.176014244892117e-06,1.452770201542294e-06
61,119999.99731779099,125000.0,neutron,70,total,flux,8.677732421045904e-08,8.677732421045903e-08
62,125000.0,129999.99523162842,neutron,70,total,flux,5.79505311026722e-06,4.06624716818405e-06
63,129999.99523162842,135000.00536441803,neutron,70,total,flux,3.5132403409524342e-06,2.370315895285813e-06
64,135000.00536441803,140000.00059604645,neutron,70,total,flux,3.5179564041031744e-06,2.372666085660876e-06
65,140000.00059604645,148570.0011253357,neutron,70,total,flux,0.0,0.0
66,148570.0011253357,157140.00165462494,neutron,70,total,flux,3.261687926375628e-06,2.2670941147831704e-06
67,157140.00165462494,165710.00218391418,neutron,70,total,flux,6.771503750559941e-06,3.4921377057558637e-06
68,165710.00218391418,174290.0013923645,neutron,70,total,flux,4.850418944230771e-06,2.7293647686034574e-06
69,174290.0013923645,182860.00192165375,neutron,70,total,flux,4.39393134370626e-06,1.9589525958748164e-06
70,182860.00192165375,191430.002450943,neutron,70,total,flux,2.8007916745590367e-06,1.923994319208595e-06
71,191430.002450943,200000.00298023224,neutron,70,total,flux,0.0,0.0
72,200000.00298023224,209999.99344348907,neutron,70,total,flux,2.46413990597536e-06,2.0270516302371096e-06
73,209999.99344348907,219999.9988079071,neutron,70,total,flux,1.0170731011599625e-05,2.4549483953241776e-06
74,219999.9988079071,230000.00417232513,neutron,70,total,flux,1.6591616167872123e-06,1.6591616167872123e-06
75,230000.00417232513,239999.99463558197,neutron,70,total,flux,1.7637830350054531e-06,1.7637830350054531e-06
76,239999.99463558197,250000.0,neutron,70,total,flux,6.635487312848164e-06,4.127314943095598e-06
77,250000.0,259999.99046325684,neutron,70,total,flux,1.0342030812495757e-05,6.0281609857798586e-06
78,259999.99046325684,270000.01072883606,neutron,70,total,flux,0.0,0.0
79,270000.01072883606,280000.0011920929,neutron,70,total,flux,1.2449262578393387e-05,4.620829881578772e-06
80,280000.0011920929,289999.99165534973,neutron,70,total,flux,4.53902004085136e-06,2.5500855059354918e-06
81,289999.99165534973,300000.01192092896,neutron,70,total,flux,1.8714974184664542e-06,1.8714974184664542e-06
82,300000.01192092896,319999.9928474426,neutron,70,total,flux,1.7755663558773916e-05,6.387070698906164e-06
83,319999.9928474426,340000.0035762787,neutron,70,total,flux,5.175075796488709e-06,3.7912437507286405e-06
84,340000.0035762787,360000.01430511475,neutron,70,total,flux,1.649543524691569e-05,3.6983271893968744e-06
